open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore,timestamp
1640995200000,46210.57,47566.66,46210.55,47186.83,59761.438,1641023999999,2804073246.09368,586894,30370.253,1425135185.47818,0,2022-01-01 00:00:00
1641024000000,47186.83,47488.64,46700.09,47194.78,57715.017,1641052799999,2715379392.65669,610941,28367.934,1334926545.685,0,2022-01-01 08:00:00
1641052800000,47194.77,47943.77,47157.59,47704.35,61957.129,1641081599999,2942380022.90692,625263,31248.032,1484045909.79451,0,2022-01-01 16:00:00
1641081600000,47704.35,47745.61,46749.99,47171.04,52156.741,1641110399999,2462856476.31896,492626,25667.922,1212072096.91038,0,2022-01-02 00:00:00
1641110400000,47171.39,47500.0,46963.66,47329.68,49000.547,1641139199999,2313682460.78665,511152,24630.286,1163115427.81525,0,2022-01-02 08:00:00
1641139200000,47329.68,48000.0,46605.68,47280.0,83637.805,1641167999999,3953609386.50229,841466,41683.105,1970310047.19907,0,2022-01-02 16:00:00
1641168000000,47280.01,47288.28,46717.26,47041.11,47625.125,1641196799999,2237371750.50066,457320,23202.468,1090119032.26017,0,2022-01-03 00:00:00
1641196800000,47042.77,47575.22,46560.0,46689.99,90947.643,1641225599999,4281478827.19331,861403,44245.764,2083329074.62877,0,2022-01-03 08:00:00
1641225600000,46689.99,46800.0,45665.4,46445.81,106209.025,1641254399999,4915875206.32876,1048995,51605.026,2389138836.32192,0,2022-01-03 16:00:00
1641254400000,46445.8,46550.89,45931.61,46521.68,59667.946,1641283199999,2759450810.71888,609093,29222.033,1351591798.02894,0,2022-01-04 00:00:00
1641283200000,46521.69,47524.36,46270.54,46925.28,106369.508,1641311999999,4982634204.46522,991271,52030.246,2437442805.80654,0,2022-01-04 08:00:00
1641312000000,46925.28,46986.54,45445.57,45833.42,126112.296,1641340799999,5831521740.98397,1163242,62033.93,2869020928.12862,0,2022-01-04 16:00:00
1641340800000,45833.41,46580.0,45710.23,46399.33,47103.919,1641369599999,2180078946.92813,450407,23618.224,1093249120.96233,0,2022-01-05 00:00:00
1641369600000,46399.34,47075.29,45900.0,46611.46,136190.848,1641398399999,6329476724.42425,1269342,67549.941,3140037037.07668,0,2022-01-05 08:00:00
1641398400000,46611.47,46670.0,42270.0,43421.69,302182.802,1641427199999,13450333149.54527,2718432,141407.378,6296850063.48631,0,2022-01-05 16:00:00
1641427200000,43421.7,43766.0,42566.73,43222.22,109852.951,1641455999999,4741927999.05833,1043719,54348.222,2346274567.02443,0,2022-01-06 00:00:00
1641456000000,43222.22,43253.23,42385.83,42947.79,121237.927,1641484799999,5197434826.38511,1218525,60128.67,2578158130.4168,0,2022-01-06 08:00:00
1641484800000,42947.78,43564.78,42742.0,43080.01,68418.973,1641513599999,2951561432.43262,704828,34429.263,1485434298.74789,0,2022-01-06 16:00:00
1641513600000,43080.01,43135.0,40900.0,41691.61,169479.814,1641542399999,7096228906.2374,1528952,81512.513,3412427555.02109,0,2022-01-07 00:00:00
1641542400000,41699.41,42960.0,40456.56,41297.41,192884.49,1641571199999,8069413587.28564,1814062,95109.958,3982291014.42278,0,2022-01-07 08:00:00
1641571200000,41297.14,42345.81,40900.0,41553.86,110850.545,1641599999999,4618264499.07601,1044509,56648.239,2360438725.6929,0,2022-01-07 16:00:00
