open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore,timestamp
1640995200000,46210.57,46944.56,46210.55,46766.78,16233.714,1641002399999,756825385.08028,164575,8467.538,394748524.05844,0,2022-01-01 00:00:00
1641002400000,46767.44,46917.87,46709.44,46789.56,8687.705,1641009599999,406765665.0144,85473,4031.372,188771318.63189,0,2022-01-01 02:00:00
1641009600000,46789.55,47566.66,46605.0,47184.18,21137.306,1641016799999,995276523.86547,207138,11049.388,520337161.78768,0,2022-01-01 04:00:00
1641016800000,47184.19,47314.4,46867.0,47186.83,13702.713,1641023999999,645205672.13353,129708,6821.955,321278181.00017,0,2022-01-01 06:00:00
1641024000000,47186.83,47338.0,46920.02,47137.37,11806.949,1641031199999,556466019.75969,124750,5804.047,273582999.467,0,2022-01-01 08:00:00
1641031200000,47137.01,47293.76,46700.09,46755.01,17614.338,1641038399999,826690978.19486,182786,8244.145,387010417.89449,0,2022-01-01 10:00:00
1641038400000,46755.01,47200.0,46755.01,47005.55,11857.855,1641045599999,557519041.82477,131392,5870.384,276020750.21237,0,2022-01-01 12:00:00
1641045600000,47005.55,47488.64,46830.23,47194.78,16435.875,1641052799999,774703352.87737,172013,8449.358,398312378.11114,0,2022-01-01 14:00:00
1641052800000,47194.77,47943.77,47157.59,47733.16,22802.919,1641059999999,1083909471.0134,246256,11580.914,550468150.0057,0,2022-01-01 16:00:00
1641060000000,47733.16,47832.04,47278.67,47326.98,15663.577,1641067199999,744243977.53387,154758,7351.164,349307616.15126,0,2022-01-01 18:00:00
1641067200000,47326.99,47549.98,47223.0,47322.2,11066.151,1641074399999,524522175.01483,109928,5835.255,276609620.51548,0,2022-01-01 20:00:00
1641074400000,47322.19,47813.43,47202.47,47704.35,12424.482,1641081599999,589704399.34482,114321,6480.699,307660523.12207,0,2022-01-01 22:00:00
1641081600000,47704.35,47745.61,47312.99,47381.21,12628.117,1641088799999,600156505.96453,121151,6056.613,287838540.20145,0,2022-01-02 00:00:00
1641088800000,47381.21,47470.0,47263.28,47330.75,8212.064,1641095999999,388941005.1838,94222,4055.307,192087749.30482,0,2022-01-02 02:00:00
1641096000000,47330.76,47418.65,46749.99,47077.7,20574.371,1641103199999,967327414.41225,175705,9794.273,460487439.5132,0,2022-01-02 04:00:00
1641103200000,47076.58,47294.01,47005.3,47171.04,10742.189,1641110399999,506431550.75838,101548,5761.729,271658367.89091,0,2022-01-02 06:00:00
1641110400000,47171.39,47500.0,46963.66,47263.18,13718.593,1641117599999,648098189.69354,135521,7102.518,335616861.5217,0,2022-01-02 08:00:00
1641117600000,47263.18,47374.7,47121.53,47231.3,8489.814,1641124799999,401231628.77761,88839,4228.04,199843632.54002,0,2022-01-02 10:00:00
1641124800000,47231.29,47453.05,47002.47,47133.07,14559.011,1641131999999,687082936.27046,147792,7097.81,334962690.03989,0,2022-01-02 12:00:00
1641132000000,47133.08,47400.0,47006.66,47329.68,12233.129,1641139199999,577269706.04504,139000,6201.918,292692243.71364,0,2022-01-02 14:00:00
1641139200000,47329.68,48000.0,47263.5,47402.3,32273.123,1641146399999,1536513610.93952,313107,15783.057,751510128.82497,0,2022-01-02 16:00:00
1641146400000,47401.6,47408.7,46605.68,46908.29,31590.327,1641153599999,1484465329.58854,299183,16004.942,752108639.71382,0,2022-01-02 18:00:00
1641153600000,46908.66,47185.65,46815.75,47023.47,8906.731,1641160799999,418667478.09644,101345,4479.837,210593029.24083,0,2022-01-02 20:00:00
1641160800000,47020.94,47469.46,47014.81,47280.0,10867.624,1641167999999,513962967.87779,127831,5415.269,256098249.41945,0,2022-01-02 22:00:00
1641168000000,47280.01,47288.28,46935.08,47117.42,10606.72,1641175199999,499674929.00221,110696,5222.88,246040051.81606,0,2022-01-03 00:00:00
1641175200000,47117.42,47117.43,46717.26,46802.86,15685.161,1641182399999,735896662.31836,138521,7246.843,340044302.42961,0,2022-01-03 02:00:00
1641182400000,46802.86,47217.37,46750.0,47083.37,13511.316,1641189599999,634344097.91381,121880,7056.691,331323375.68661,0,2022-01-03 04:00:00
1641189600000,47083.37,47105.97,46857.38,47041.11,7821.928,1641196799999,367456061.26628,86223,3676.054,172711302.32789,0,2022-01-03 06:00:00
1641196800000,47042.77,47133.97,46777.0,46979.01,13621.024,1641203999999,639397016.80215,133834,6655.88,312463531.8946,0,2022-01-03 08:00:00
1641204000000,46979.02,47436.26,46978.91,47364.11,19614.556,1641211199999,925931502.34001,196103,10276.535,485157513.38851,0,2022-01-03 10:00:00
1641211200000,47364.11,47575.22,47123.94,47157.33,20589.486,1641218399999,974452587.28218,195142,9676.713,458016009.51309,0,2022-01-03 12:00:00
1641218400000,47157.33,47290.0,46560.0,46689.99,37122.577,1641225599999,1741697720.76897,336324,17636.636,827692019.83257,0,2022-01-03 14:00:00
1641225600000,46689.99,46800.0,46260.4,46564.54,36462.022,1641232799999,1696168212.79919,351043,18092.119,841764821.03822,0,2022-01-03 16:00:00
1641232800000,46564.53,46735.0,46345.28,46364.55,12901.767,1641239999999,600337271.89446,135253,6117.69,284688955.4206,0,2022-01-03 18:00:00
1641240000000,46364.56,46416.0,45665.4,45974.5,39287.005,1641247199999,1806347487.50338,388691,18097.586,832091020.64526,0,2022-01-03 20:00:00
1641247200000,45973.72,46579.28,45953.38,46445.81,17558.231,1641254399999,813022234.13173,174008,9297.631,430594039.21784,0,2022-01-03 22:00:00
1641254400000,46445.8,46550.0,46050.0,46065.39,15771.384,1641261599999,730157043.32516,157544,7657.054,354557169.73588,0,2022-01-04 00:00:00
1641261600000,46065.38,46380.0,45931.61,46313.95,15045.005,1641268799999,694379925.42475,149048,7417.608,342409083.97881,0,2022-01-04 02:00:00
1641268800000,46313.95,46417.51,46020.5,46151.49,13753.892,1641275999999,635176418.66956,141860,6660.515,307609097.3939,0,2022-01-04 04:00:00
1641276000000,46151.49,46550.89,46062.8,46521.68,15097.665,1641283199999,699737423.29941,160641,7486.856,347016446.92035,0,2022-01-04 06:00:00
